,Year,Term,YearTerm,Subject,Number,Name,Description,Credit Hours,Degree Attributes,Schedule Information,Class,GPA
0,2020,Fall,2020-fa,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,AAS100,3.6
1,2020,Fall,2020-fa,AAS,105,Introduction to Arab American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Arab American Studies. Addresses the issues of history, race, social organization, politics, literature, and art related to Arab American experiences.",3 hours.,Cultural Studies - US Minority course.,,AAS105,3.69
2,2020,Fall,2020-fa,AAS,120,Intro to Asian Am Pop Culture,Introductory understanding of the way U.S. popular culture has affected Asian Americans and the contributions Asian Americans have made to U.S. media and popular culture since the mid 1880's.,3 hours.,Cultural Studies - US Minority course.,,AAS120,3.21
3,2020,Fall,2020-fa,AAS,200,U.S. Race and Empire,"Invites students to examine histories and narratives of U.S. race and empire, drawing upon multiple theoretical and methodological works in Asian American studies and related fields. Same as LLS 200.",3 hours.,"Humanities - Hist & Phil, and Cultural Studies - US Minority course.",,AAS200,3.71
4,2020,Fall,2020-fa,AAS,201,US Racial &amp; Ethnic Politics,"Same as AFRO 201, LLS 201, and PS 201. See PS 201.",3 hours.,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,AAS201,
5,2020,Fall,2020-fa,AAS,275,The Politics of Fashion,Same as GWS 275. See GWS 275.,3 hours.,Cultural Studies - US Minority course.,,AAS275,
6,2020,Fall,2020-fa,AAS,281,Constructing Race in America,"Same as AFRO 281, HIST 281, and LLS 281. See HIST 281.",3 hours.,"Humanities - Hist & Phil, and Cultural Studies - US Minority course.",,AAS281,
7,2020,Fall,2020-fa,AAS,283,Asian American History,Same as HIST 283. See HIST 283.,3 hours.,"Humanities - Hist & Phil, and Cultural Studies - US Minority course.",,AAS283,
8,2020,Fall,2020-fa,AAS,291,Hinduism in the United States,Same as REL 291. See REL 291.,3 hours.,,,AAS291,
9,2020,Fall,2020-fa,AAS,297,Asian Families in America,Same as HDFS 221 and SOCW 297. See SOCW 297.,3 hours.,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,AAS297,
10,2020,Fall,2020-fa,AAS,300,"Theories of Race, Gender, and Sexuality","Explores theories for performing interdisciplinary, intersectional and comparative studies within the field of Asian American studies. Follows multiple genealogies of critical work in ethnic and American studies. Same as GWS 305 and LLS 305.",3 hours.,Advanced Composition course.,,AAS300,
11,2020,Fall,2020-fa,AAS,310,Race and Cultural Diversity,"Same as AFRO 310, EPS 310, and LLS 310. See EPS 310.",4 hours.,"Advanced Composition, and Cultural Studies - US Minority course.",,AAS310,
12,2020,Fall,2020-fa,AAS,402,Asian American Education,Same as EPS 402 and EPOL 402. See EPS 402.,4 hours.,"Advanced Composition, and Cultural Studies - US Minority course.",,AAS402,
13,2020,Fall,2020-fa,AAS,501,Theory and Methods in AAS,"Foundational gateway course for graduate study in Asian American Studies, examining the political, historical, epistemological, and cultural bases of the field through an intensive reading of canonical works and study of core concepts in the field. Also highlights the problems of interdisciplinary research and scholarship and adopts an intersectional and coalitional approach to Asian American Studies as it assumes the necessary linkages between other areas in ethic/racial and gender/sexuality studies.",4 hours.,,,AAS501,
14,2020,Fall,2020-fa,ABE,100,Intro Agric &amp; Biological Engrg,"Introduction to the engineering profession with career opportunities in the agricultural and biological engineering discipline. Concepts necessary for becoming a successful engineer including time management, design concepts, ethics, and teambuilding. Familiarization with laboratories, computer facilities, internships, and other opportunities. Team design experience. Emphasis on technical communication and problem-solving skills as well as career planning.",1 hours.,,,ABE100,3.66
15,2020,Fall,2020-fa,ABE,199,Undergraduate Open Seminar,May be repeated to a maximum of 12 hours.,1 TO 5 hours.,,,ABE199,3.97
16,2020,Fall,2020-fa,ABE,223,ABE Principles: Machine Syst,"Machinery systems for off-road applications: internal combustion engines; fluid power; tractors, and traction; chemical application; grain harvesting. Prerequisite: One of MATH 220, MATH 221, MATH 234.",2 hours.,,,ABE223,3.48
17,2020,Fall,2020-fa,ABE,224,ABE Principles: Soil &amp; Water,"Engineering principles and methods of design and management of natural resources and environmental systems; watershed and hydrologic cycle; infiltration and surveying; runoff and erosion; water quality; non-point source pollution. Prerequisite: One of MATH 220, MATH 221, MATH 234.",2 hours.,,,ABE224,3.65
18,2020,Fall,2020-fa,ABE,341,Transport Processes in ABE,"Principles of transport processes involving momentum, heat, and mass as applied to biological systems in agriculture, food, energy, and the environment. Credit is not given for both ABE 341 and CHBE 421. Prerequisite: ABE 223, ABE 224, ABE 225, ABE 226, and PHYS 213.",3 hours.,,,ABE341,3.09
19,2020,Fall,2020-fa,ABE,397,Independent Study,"Individual research, special problems, thesis, development or design work under the supervision of a member of the faculty. May be repeated to a maximum of 8 hours. Prerequisite: Consent of instructor.",1 TO 4 hours.,,,ABE397,
20,2020,Fall,2020-fa,ABE,424,Principles of Mobile Robotics,"The objective of this course is to prepare students in design, navigation, control, and autonomy of aerial and ground robots that operate in harsh, uncertain, and changing field environments. The course will cover three primary aspects of field robotics: perception (sensing), motion control, and data analytics, and bring everything together through labs involving ground robots and flying unmanned aircraft (drones). 4 undergraduate hours. 4 graduate hours. Approved for Letter and S/U grading. Prerequisite: MATH 221, MATH 225, and MATH 285 , or ABE 415, or ABE 440, IE 300, or STAT 400 or equiv, CS 125 or equiv., or graduate standing.",4 hours.,,,ABE424,
21,2020,Fall,2020-fa,ABE,430,Project Management,"Engineering team effectiveness; project definition; assessing related technologies; marketing and business planning related to engineering; budgeting and financial analyses of engineering projects; safety, ethics and environmental considerations; intellectual property; engineering proposal presentation. Same as TSM 430. 2 undergraduate hours. 2 graduate hours.",2 hours.,,,ABE430,3.61
22,2020,Fall,2020-fa,ABE,436,Renewable Energy Systems,"Renewable energy sources and applications, including solar, geothermal, wind, and biomass. Renewable energy's role in reducing air pollution and global climate change. Capstone project to design a system for converting renewable energy into thermal or electrical energy. 3 undergraduate hours. 4 graduate hours. Credit is not given for both ABE 436 and TSM 438. Prerequisite: PHYS 211.",3 OR 4 hours.,,,ABE436,3.33
23,2020,Fall,2020-fa,ABE,440,Applied Statistical Methods I,"Same as ANSC 440, CPSC 440, FSHN 440, and NRES 440. See CPSC 440.",4 hours.,,Students must register for one lab-discussion and one lecture section.,ABE440,
24,2020,Fall,2020-fa,ABE,445,Statistical Methods,Same as ANSC 445 and NRES 445. See ANSC 445.,4 hours.,,,ABE445,
25,2020,Fall,2020-fa,ABE,450,International Water Project I,First of two courses that assists an international rural community in establishing a sustainable water system. Serve a developing community effectively by working closely with alumni mentors and professional advisors on conceptual design development. Have the opportunity to travel to Honduras during Winter Break. Open to students in all majors. Same as LAST 440. 3 undergraduate hours. No graduate credit.,3 hours.,,,ABE450,
26,2020,Fall,2020-fa,ABE,455,Erosion and Sediment Control,"Processes, estimation, and control of soil erosion by water, wind and resultant sedimentation. Upland, in-channel, urban, agricultural, disturbed (both military training and mining), and forested environments. Capstone experience in site planning and design. 2 undergraduate hours. 2 graduate hours. Prerequisite: CEE 350 or NRES 401; CEE 380 or NRES 201.",2 hours.,,,ABE455,
27,2020,Fall,2020-fa,ABE,459,Drainage and Water Management,"Design, construction, performance, and maintenance of agricultural drainage systems to meet both production and water quality objectives. Modeling drainage systems. Principles of conservation drainage. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Credit or concurrent registration in TAM 335.",3 OR 4 hours.,,,ABE459,
28,2020,Fall,2020-fa,ABE,463,Electrohydraulic Systems,"Engineering principles of electrohydraulic control systems related to off-road vehicles. Basics of fluid power systems, concepts of electrohydraulic systems and controls, analysis and design of electrohydraulic control systems, and applications of electrohydraulic control. Additional fees may apply. See Class Schedule. 3 undergraduate hours. 3 graduate hours. Prerequisite: ECE 110 or both ECE 205 and ECE 206; ME 310 or TAM 335.",3 hours.,,,ABE463,
29,2020,Fall,2020-fa,ABE,466,Engineering Off-Road Vehicles,Design and application of off-road vehicles for farm and construction use; thermodynamics of engines; measurement of power and efficiencies; power transmission and traction; chassis mechanics; operator environment. 3 undergraduate hours. 3 graduate hours. Credit is not given for both ABE 466 and TSM 464. Prerequisite: ME 300.,3 hours.,,,ABE466,3.33
30,2020,Fall,2020-fa,ABE,483,Engrg Properties of Food Matls,"Physical properties of foods and biological materials; properties relating to equipment design and the sensing and control of food processes; thermal, electromagnetic radiation, rheological, and other mechanical properties. 3 undergraduate hours. 3 graduate hours. Prerequisite: TAM 251; either CHBE 421 or both ME 330 and TAM 335.",3 hours.,,,ABE483,3.58
31,2020,Fall,2020-fa,ABE,488,Bioprocessing Biomass for Fuel,Engineering and scientific principles governing bioprocessing of biomass for production of ethanol and other fermentation products. Process unit operations; conventional and alternative feed stock materials; recovery of value-added coproducts and other variables involved in producing fuel ethanol; process simulation; economic analysis. 3 undergraduate hours. 3 graduate hours. Prerequisite: CHBE 321 and TAM 335.,3 hours.,,,ABE488,3.54
32,2020,Fall,2020-fa,ABE,497,Independent Study,"Individual research, special problems, thesis, development or design work under the supervision of a member of the faculty. 1 to 4 undergraduate hours. No graduate credit. May be repeated to a maximum of 8 hours. Prerequisite: Consent of instructor.",1 TO 4 hours.,,,ABE497,
33,2020,Fall,2020-fa,ABE,498,Special Topics,Subject offerings of new and developing areas of knowledge in agricultural and biological engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary to a maximum of 16 hours.,1 to 4 hours.,,,ABE498,3.81
34,2020,Fall,2020-fa,ABE,501,Graduate Research I,"Basic research orientation, research methods, presentation skills, laboratory practices, case studies, and professional and ethical conduct.",1 hours.,,,ABE501,3.83
35,2020,Fall,2020-fa,ABE,594,Graduate Seminar,Presentations of thesis research by graduate students; other presentations on teaching or current research issues related to agricultural and biological engineering. Approved for S/U grading only. May be repeated up to a maximum of 6 times.,0 hours.,,,ABE594,
36,2020,Fall,2020-fa,ABE,597,Independent Study,Individual investigations or studies of any phases of agricultural engineering selected by the student and approved by the advisor and the faculty member who will supervise the study. May be repeated to a maximum of 16 hours. Prerequisite: Consent of instructor.,1 TO 4 hours.,,,ABE597,
37,2020,Fall,2020-fa,ABE,599,Thesis Research,Approved for S/U grading only. May be repeated.,0 TO 16 hours.,,,ABE599,
38,2020,Fall,2020-fa,ACCY,199,Undergraduate Open Seminar,May be repeated.,1 TO 5 hours.,,,ACCY199,
39,2020,Fall,2020-fa,ACCY,200,Fundamentals of Accounting,Survey course in the principles of accounting for students registered in schools and colleges other than the College of Business. Credit is not given for both ACCY 200 and either ACCY 201 or ACCY 202. Prerequisite: Sophomore standing.,3 hours.,,,ACCY200,3.17
40,2020,Fall,2020-fa,ACCY,201,Accounting and Accountancy I,"Develops a foundation for understanding and analyzing how accounting information is generated and interpreted by both external and internal decision makers. Students will begin by identifying the information conveyed in each of the basic financial statements and understand the way that this information is used by different external decision makers. Students will then focus on information used by management, with an emphasis on analysis to facilitate and guide management decision making, planning and control. Credit is not given for both ACCY 201 and ACCY 200. Prerequisite: Prior to enrollment in ACCY 201, students must: 1) have completed either ECON 102 or ECON 103; AND 2) have completed or be concurrently enrolled in the remaining ECON 102 or ECON 103 course.",3 hours.,,Students must register for one lecture and one discussion.,ACCY201,3.18
41,2020,Fall,2020-fa,ACCY,202,Accounting and Accountancy II,"Further develops the student's understanding of accrual accounting, the goals and objectives of financial reporting, the information needs of end users, the qualities of useful information, as well as the financial statements and financial statement elements. Students will analyze and record progressively more complex transactions, continuing to take the economic event from inception to reporting. Recurring themes and foundational concepts are emphasized such that students can develop intuition for accounting measurement and reporting. Credit is not given for both ACCY 202 and ACCY 200. Prerequisite: ACCY 201 or equivalent.",3 hours.,,Students must register for one discussion and one lecture section.,ACCY202,3.25
