,Year,Term,YearTerm,Subject,Number,Name,Description,Credit Hours,Section Info,Degree Attributes,Schedule Information,CRN,Section,Status Code,Part of Term,Section Status,Enrollment Status,Type,Start Time,End Time,Days of Week,Room,Building,Instructors
0,2020,Fall,2020-fa,AAS,100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3 hours.,,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,41758,AD1,A,1,A,Open,DIS,9:00 AM,9:50 AM,F,207,Psychology Building,"Boonsripaisal, S"
11,2020,Fall,2020-fa,AAS,105,Introduction to Arab American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Arab American Studies. Addresses the issues of history, race, social organization, politics, literature, and art related to Arab American experiences.",3 hours.,,Cultural Studies - US Minority course.,,70169,A,A,1,A,Open,LCD,2:00 PM,3:20 PM,MW,219,David Kinley Hall,"Sharif, L"
12,2020,Fall,2020-fa,AAS,120,Intro to Asian Am Pop Culture,Introductory understanding of the way U.S. popular culture has affected Asian Americans and the contributions Asian Americans have made to U.S. media and popular culture since the mid 1880's.,3 hours.,,Cultural Studies - US Minority course.,,51394,A,A,1,A,Open,LCD,3:30 PM,4:50 PM,MW,111,David Kinley Hall,"Atienza, P"
13,2020,Fall,2020-fa,AAS,200,U.S. Race and Empire,"Invites students to examine histories and narratives of U.S. race and empire, drawing upon multiple theoretical and methodological works in Asian American studies and related fields. Same as LLS 200.",3 hours.,Same as LLS 200.,"Humanities - Hist & Phil, and Cultural Studies - US Minority course.",,67473,C,A,1,A,CrossListOpen,LCD,9:30 AM,10:50 AM,TR,115,David Kinley Hall,
14,2020,Fall,2020-fa,AAS,201,US Racial &amp; Ethnic Politics,"Same as AFRO 201, LLS 201, and PS 201. See PS 201.",3 hours.,"Same as AFRO 201, LLS 201, and PS 201. See PS 201.","Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,71040,OL1,A,A,A,CrossListOpen,ONL,ARRANGED,,,,,
16,2020,Fall,2020-fa,AAS,275,The Politics of Fashion,Same as GWS 275. See GWS 275.,3 hours.,Same as GWS 275. See GWS 275.,Cultural Studies - US Minority course.,,71455,AD1,A,1,A,CrossListOpen,DIS,2:00 PM,2:50 PM,R,205,Gregory Hall,"Delanthamajalu, S;Nguyen, M"
25,2020,Fall,2020-fa,AAS,281,Constructing Race in America,"Same as AFRO 281, HIST 281, and LLS 281. See HIST 281.",3 hours.,"Same as AFRO 281, HIST 281, and LLS 281. See HIST 281.","Humanities - Hist & Phil, and Cultural Studies - US Minority course.",,71409,AD1,A,1,A,CrossListOpen,DIS,9:00 AM,9:50 AM,F,221,Gregory Hall,
29,2020,Fall,2020-fa,AAS,283,Asian American History,Same as HIST 283. See HIST 283.,3 hours.,Same as HIST 283. See HIST 283.,"Humanities - Hist & Phil, and Cultural Studies - US Minority course.",,72183,A,A,1,A,CrossListOpen,LCD,12:00 PM,1:20 PM,MW,146,Armory,"Espiritu, A"
30,2020,Fall,2020-fa,AAS,291,Hinduism in the United States,Same as REL 291. See REL 291.,3 hours.,Same as REL 291. See REL 291.,,,68316,A,A,1,A,CrossListOpen,LCD,2:00 PM,2:50 PM,MWF,,,"Newman, A"
31,2020,Fall,2020-fa,AAS,297,Asian Families in America,Same as HDFS 221 and SOCW 297. See SOCW 297.,3 hours.,Same as HDFS 221 and SOCW 297. See SOCW 297.,"Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,64421,A,A,1,A,Closed,LCD,5:15 PM,6:30 PM,TR,242,Bevier Hall,"Balgopal, A"
32,2020,Fall,2020-fa,AAS,300,"Theories of Race, Gender, and Sexuality","Explores theories for performing interdisciplinary, intersectional and comparative studies within the field of Asian American studies. Follows multiple genealogies of critical work in ethnic and American studies. Same as GWS 305 and LLS 305.",3 hours.,Same as GWS 305 and LLS 305.,Advanced Composition course.,,66652,A,A,1,A,CrossListOpen,LCD,12:30 PM,1:50 PM,TR,145,Armory,"Desai, R"
33,2020,Fall,2020-fa,AAS,310,Race and Cultural Diversity,"Same as AFRO 310, EPS 310, and LLS 310. See EPS 310.",4 hours.,"Same as AFRO 310, EPS 310, and LLS 310. See EPS 310.","Advanced Composition, and Cultural Studies - US Minority course.",,65000,D1,A,1,A,CrossListOpen,DIS,2:00 PM,3:50 PM,R,22,Education Building,
36,2020,Fall,2020-fa,AAS,402,Asian American Education,Same as EPS 402 and EPOL 402. See EPS 402.,4 hours.,Same as EPS 402 and EPOL 402. See EPS 402.,"Advanced Composition, and Cultural Studies - US Minority course.",,45567,A,A,1,A,CrossListOpen (Restricted),LCD,2:00 PM,3:50 PM,W,2,Education Building,"Pak, Y"
38,2020,Fall,2020-fa,AAS,501,Theory and Methods in AAS,"Foundational gateway course for graduate study in Asian American Studies, examining the political, historical, epistemological, and cultural bases of the field through an intensive reading of canonical works and study of core concepts in the field. Also highlights the problems of interdisciplinary research and scholarship and adopts an intersectional and coalitional approach to Asian American Studies as it assumes the necessary linkages between other areas in ethic/racial and gender/sexuality studies.",4 hours.,,,,54236,A,A,1,A,Open,LCD,2:00 PM,4:50 PM,T,,,"Rana, J"
39,2020,Fall,2020-fa,ABE,100,Intro Agric &amp; Biological Engrg,"Introduction to the engineering profession with career opportunities in the agricultural and biological engineering discipline. Concepts necessary for becoming a successful engineer including time management, design concepts, ethics, and teambuilding. Familiarization with laboratories, computer facilities, internships, and other opportunities. Team design experience. Emphasis on technical communication and problem-solving skills as well as career planning.",1 hours.,,,,72060,AGM,A,B,A,Open,LEC,1:00 PM,2:50 PM,R,131,Animal Sciences Laboratory,"Green-Miller, A"
40,2020,Fall,2020-fa,ABE,199,Undergraduate Open Seminar,May be repeated to a maximum of 12 hours.,1 TO 5 hours.,May be repeated to a maximum of 12 hours.,,,10141,,A,1,A,Open (Restricted),IND,ARRANGED,,,,,
